"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"Howard University",38.9207,-77.0195,"Washington",11,22683.0,22683.0,2,"www.howard.edu",0.6065,0.8154,0.493,27000.0,8900.0,19600.0,53700.0,74000.0,0.532668,0.585118,0.66507,0.739955
"Huntington University",40.8991,-85.4996,"Huntington",32,24040.0,24040.0,2,"www.huntington.edu",0.623,0.7941,0.9732,27000.0,9900.0,17500.0,37200.0,50000.0,0.937931,0.921397,0.924205,0.939525
"Illinois College",39.7308,-90.2463,"Jacksonville",32,27800.0,27800.0,2,"www.ic.edu",0.6357,0.8134,0.6129,27000.0,11000.0,21000.0,39600.0,51200.0,0.908676,0.901288,0.926829,0.907638
"Illinois Institute of Technology",41.8338,-87.6283,"Chicago",11,40117.0,40117.0,2,"www.iit.edu",0.625,0.8596,0.5697,26981.5,13500.0,30100.0,69700.0,93100.0,0.915556,0.919444,0.925159,0.931402
"Illinois State University",40.5097,-88.9923,"Normal",22,13010.0,20450.0,1,"illinoisstate.edu/",0.7162,0.816,0.6892,22500.0,12800.0,23800.0,47500.0,61700.0,0.903034,0.920315,0.923842,0.946098
"Illinois Wesleyan University",40.4915,-88.9906,"Bloomington",13,39316.0,39316.0,2,"www.iwu.edu",0.7807,0.8755,0.5838,27000.0,16700.0,27500.0,56000.0,69400.0,0.94061,0.944444,0.951724,0.964328
"Indiana University of Pennsylvania-Main Campus",40.6156,-79.1599,"Indiana",32,9080.0,20216.0,1,"www.iup.edu",0.5119,0.734,0.9049,27000.0,10100.0,19000.0,42300.0,56000.0,0.834145,0.825832,0.843186,0.885408
"Indiana University-Bloomington",39.1664,-86.5269,"Bloomington",13,10209.0,32350.0,1,"www.iub.edu",0.7705,0.8982,0.7217,23628.0,11000.0,21700.0,49200.0,66400.0,0.871662,0.890085,0.913522,0.924881
"Indiana Wesleyan University",40.5185,-85.662,"Marion",32,23628.0,23628.0,2,"www.indwes.edu",0.655,0.7776,0.9515,24806.5,13900.0,27400.0,61400.0,81200.0,0.806976,0.800482,0.811803,0.873074
"International Business College-Fort Wayne",41.0352,-85.2593,"Fort Wayne",11,13880.0,13880.0,3,"www.ibcfortwayne.edu",0.7252,1.0,0.8308,13625.0,4400.0,13600.0,30900.0,38400.0,0.835409,0.799134,0.737782,0.77968
"Iona College",40.9271,-73.7856,"New Rochelle",21,32770.0,32770.0,2,"www.iona.edu",0.6258,0.8269,0.9212,25250.0,9600.0,22800.0,52200.0,71200.0,0.859006,0.881569,0.865884,0.891258
"Iowa State University",42.0264,-93.6484,"Ames",13,7726.0,20278.0,1,"www.iastate.edu",0.681,0.8713,0.8252,25250.0,14800.0,25800.0,52500.0,69100.0,0.886173,0.908492,0.928655,0.941703
"Ithaca College",42.4226,-76.4951,"Ithaca",23,38400.0,38400.0,2,"www.ithaca.edu",0.7575,0.8752,0.666,26300.0,12800.0,22600.0,50800.0,66000.0,0.94686,0.959663,0.944291,0.972013
"James Madison University",38.4353,-78.8717,"Harrisonburg",13,9176.0,23654.0,1,"www.jmu.edu/",0.815,0.9237,0.6356,20683.5,13900.0,27100.0,54300.0,69900.0,0.951267,0.956868,0.960779,0.965263
"John Brown University",36.1911,-94.5591,"Siloam Springs",32,22734.0,22734.0,2,"www.jbu.edu",0.6537,0.8239,0.6982,22500.0,12300.0,23600.0,54500.0,75000.0,0.91202,0.931361,0.933507,0.936491
"John Carroll University",41.4894,-81.5323,"University Heights",21,34480.0,34480.0,2,"sites.jcu.edu/",0.7528,0.8811,0.8334,27000.0,15700.0,26500.0,52200.0,67200.0,0.880952,0.895176,0.921992,0.949966
"Johns Hopkins University",39.3284,-76.6208,"Baltimore",11,45470.0,45470.0,2,"www.jhu.edu",0.9254,0.9704,0.1813,18500.0,16900.0,36200.0,85100.0,108900.0,0.93,0.93957,0.95217,0.966617
"Johnson & Wales University-Charlotte",35.2329,-80.8509,"Charlotte",11,27456.0,27456.0,2,"www.jwu.edu/",0.618,0.7242,0.5961,27000.0,8700.0,18200.0,40400.0,51700.0,0.818107,0.801118,0.766228,0.790639
"Johnson & Wales University-Denver",39.748,-104.906,"Denver",11,27456.0,27456.0,2,"www.jwu.edu",0.5831,0.8121,0.7848,27000.0,8700.0,18200.0,40400.0,51700.0,0.818107,0.801118,0.766228,0.790639
"Johnson & Wales University-Providence",41.8206,-71.4133,"Providence",12,27456.0,27456.0,2,"www.jwu.edu",0.5783,0.7899,0.7602,27000.0,8700.0,18200.0,40400.0,51700.0,0.818107,0.801118,0.766228,0.790639
"Johnson University",35.9372,-83.7503,"Knoxville",41,10800.0,10800.0,2,"www.johnsonu.edu",0.5723,0.8045,0.5464,22620.0,5500.0,13100.0,33400.0,47400.0,0.885093,0.869823,0.859438,0.860927
"Judson University",42.059,-88.2897,"Elgin",12,27530.0,27530.0,2,"www.judsonu.edu",0.5,0.7226,0.7069,25000.0,11300.0,22400.0,45400.0,64700.0,0.859862,0.887821,0.8416,0.912162
"Juniata College",40.4995,-78.0152,"Huntingdon",32,37170.0,37170.0,2,"www.juniata.edu",0.7507,0.8781,0.7409,27000.0,12300.0,22400.0,46000.0,62200.0,0.959227,0.960159,0.958785,0.95679
"Kalamazoo College",42.2904,-85.6013,"Kalamazoo",13,39450.0,39450.0,2,"www.kzoo.edu",0.7741,0.9192,0.6689,27000.0,6800.0,15400.0,42700.0,54700.0,0.947917,0.934426,0.951852,0.974425
