,LATITUDE,LONGITUDE,CITY,LOCALE,TUITIONFEE_IN,TUITIONFEE_OUT,CONTROL,INSTURL,C150_4,RET_FT4,ADM_RATE,GRAD_DEBT_MDN,pct10_earn_wne_p6,pct25_earn_wne_p6,pct75_earn_wne_p6,pct90_earn_wne_p6,RPY_1YR_RT,RPY_3YR_RT,RPY_5YR_RT,RPY_7YR_RT
Brown Mackie College-Tucson,32.2367,-110.8951,Tucson,11,13194,13194,3,www.brownmackie.edu,0.1622,0,NULL,21599,4800,15200,35900,47100,0.272579932,0.289359316,0.546352584,0.70790378
Charles of Italy Beauty College,34.4753,-114.3281,Lake Havasu City,13,NULL,NULL,3,www.charlesofitaly.edu,NULL,NULL,NULL,7389,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.464912281,0.424,0.450381679,0.522123894
Cochise College,31.3658,-109.6904,Douglas,42,1752,6000,1,www.cochise.edu,NULL,NULL,NULL,8468,4300,11800,35800,55800,0.640650407,0.602184087,0.573654391,0.650473934
Empire Beauty School-Flagstaff,35.1972,-111.6259,Flagstaff,13,NULL,NULL,3,www.empire.edu,NULL,NULL,NULL,8167,2500,8300,28600,40800,0.438834951,0.541509434,0.595419847,0.666666667
Empire Beauty School-Chandler,33.3476,-111.8604,Chandler,21,NULL,NULL,3,www.empire.edu,NULL,NULL,NULL,8167,2500,8300,28600,40800,0.438834951,0.541509434,0.595419847,0.666666667
Cortiva Institute-Tucson,32.219,-110.8568,Tucson,11,NULL,NULL,3,www.cortiva.com/,NULL,NULL,NULL,7875,6800,10600,30400,45100,0.715302491,0.696113074,0.655737705,0.820359281
Avalon School of Cosmetology-Mesa,33.3766,-111.8583,Mesa,11,NULL,NULL,3,www.avalon.com,NULL,NULL,NULL,12907,2800,6600,27800,40600,0.541751527,0.517374517,0.511520737,0.709677419
Eastern Arizona College,32.8407,-109.7617,Thatcher,33,1760,8360,1,www.eac.edu,NULL,NULL,NULL,PrivacySuppressed,3800,9900,35800,55400,NULL,NULL,NULL,NULL
Embry-Riddle Aeronautical University-Prescott,34.6157,-112.4523,Prescott,41,31034,31034,2,www.erau.edu,0.5915,0.828,0.7898,26000,13300,26700,68100,87800,0.850706714,0.865240345,0.864982578,0.879572033
Frank Lloyd Wright School of Architecture,33.6072,-111.8465,Scottsdale,41,NULL,NULL,2,www.taliesin.edu,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,NULL,NULL
