"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"Vanguard University of Southern California",33.6627,-117.901,"Costa Mesa",12,29250.0,29250.0,2,"www.vanguard.edu",0.5232,0.7609,0.6977,25000.0,7400.0,20000.0,48300.0,69800.0,0.860271,0.882126,0.893617,0.918002
"Vassar College",41.6851,-73.8943,"Poughkeepsie",21,47890.0,47890.0,2,"www.vassar.edu",0.9365,0.9559,0.2411,17545.0,9000.0,19800.0,47000.0,61200.0,0.968468,0.978723,0.970655,0.968647
"Vaughn College of Aeronautics and Technology",40.7683,-73.8817,"Flushing",11,20450.0,20450.0,2,"www.vaughn.edu",0.3646,0.7674,0.7706,22000.0,7500.0,21700.0,64400.0,96600.0,0.606928,0.656593,0.706503,0.72214
"Vermont Technical College",43.9393,-72.6052,"Randolph Center",43,12494.0,23006.0,1,"www.vtc.edu",0.4839,0.6991,0.8257,16062.0,11600.0,24100.0,51600.0,63500.0,0.927007,0.898,0.893074,0.907447
"Victory University",35.1392,-89.9462,"Memphis",11,9760.0,9760.0,3,"www.victory.edu",0.0541,0.6,0.9547,40625.0,7300.0,14700.0,44200.0,56100.0,0.48847,0.523529,0.528596,0.775281
"Villa Maria College",42.913,-78.7957,"Buffalo",13,18240.0,18240.0,2,"www.villa.edu",0.271,0.5897,0.8066,24750.0,5100.0,12500.0,31500.0,41500.0,0.653951,0.617801,0.614035,0.618421
"Villanova University",40.0394,-75.3455,"Villanova",21,44430.0,44430.0,2,"www.villanova.edu",0.9008,0.9402,0.489,27000.0,20300.0,38500.0,74800.0,88900.0,0.966474,0.967724,0.974202,0.979833
"Virginia Commonwealth University",37.5476,-77.4536,"Richmond",12,12002.0,29473.0,1,"www.vcu.edu/",0.5681,0.8659,0.6913,24750.0,9700.0,19800.0,47600.0,65700.0,0.770982,0.816052,0.82959,0.864116
"Virginia Intermont College",36.605,-82.1761,"Bristol",13,24642.0,24642.0,2,"www.vic.edu",0.4588,0.5256,0.9646,23730.0,6300.0,15400.0,36700.0,47800.0,0.789308,0.765043,0.78125,0.827804
"Virginia Military Institute",37.7843,-79.5258,"Lexington",32,14404.0,35392.0,1,"www.vmi.edu",0.7585,0.8411,0.4732,23500.0,13600.0,24700.0,54500.0,71000.0,0.922794,0.930693,0.949495,0.943182
"Virginia Polytechnic Institute and State University",37.2375,-80.4348,"Blacksburg",13,11455.0,27211.0,1,"WWW.VT.EDU",0.8243,0.9119,0.7028,25000.0,15500.0,28600.0,61900.0,76400.0,0.926287,0.945578,0.95151,0.95793
"Virginia State University",37.2365,-77.4199,"Petersburg",21,7784.0,17192.0,1,"www.vsu.edu",0.4034,0.6495,0.9459,28451.0,6700.0,14500.0,37500.0,51400.0,0.44298,0.470828,0.503989,0.586117
"Virginia Union University",37.5619,-77.451,"Richmond",12,15130.0,15130.0,2,"www.vuu.edu",0.3547,0.5421,0.5848,31000.0,3600.0,10300.0,32300.0,43400.0,0.257534,0.29125,0.469471,0.567183
"Virginia Wesleyan College",36.8684,-76.1861,"Norfolk",11,32482.0,32482.0,2,"www.vwc.edu",0.4404,0.6736,0.9311,27000.0,9800.0,19100.0,41400.0,50000.0,0.811897,0.789474,0.833333,0.8933
"Viterbo University",43.8023,-91.2441,"La Crosse",13,23330.0,23330.0,2,"www.viterbo.edu",0.4681,0.8092,0.706,27000.0,12000.0,23600.0,50800.0,64300.0,0.855277,0.863869,0.878821,0.928762
"Voorhees College",33.3075,-81.1301,"Denmark",41,10780.0,10780.0,2,"www.voorhees.edu",0.3303,0.4628,0.5051,25000.0,4800.0,10300.0,30700.0,42000.0,0.275934,0.312127,0.510776,0.61139
"Wagner College",40.615,-74.0957,"Staten Island",11,39220.0,39220.0,2,"www.wagner.edu",0.6136,0.8803,0.6988,27000.0,8300.0,20600.0,58300.0,82400.0,0.943396,0.933333,0.923205,0.942331
"Wake Forest University",36.1353,-80.279,"Winston Salem",12,44742.0,44742.0,2,"www.wfu.edu",0.8646,0.9294,0.352,22810.0,13000.0,28200.0,62900.0,83300.0,0.964183,0.972441,0.971875,0.9748
"Waldorf College",43.2622,-93.64,"Forest City",33,20316.0,20316.0,3,"www.waldorf.edu",0.4255,0.487,0.5067,22201.0,9200.0,17400.0,38200.0,49600.0,0.774096,0.762032,0.811145,0.861862
"Walla Walla University",46.047,-118.39,"College Place",23,25377.0,25377.0,2,"www.wallawalla.edu",0.4593,0.7741,0.9286,28250.0,7800.0,19600.0,54900.0,72800.0,0.877907,0.883657,0.908322,0.916859
"Walsh University",40.8733,-81.3691,"North Canton",21,25840.0,25840.0,2,"www.walsh.edu",0.5519,0.7348,0.7713,27000.0,13900.0,22600.0,48400.0,61500.0,0.840304,0.854626,0.859119,0.881657
"Warner Pacific College",45.5063,-122.592,"Portland",11,19770.0,19770.0,2,"www.warnerpacific.edu/adult-degrees/adult-degree-program",0.3152,0.6471,0.5274,26643.0,8800.0,17800.0,49500.0,73800.0,0.775862,0.766864,0.857944,0.838926
